Review	Liked
Wow... Loved this place.	yes
Crust is not good.	no
Not tasty and the texture was just nasty.	yes
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	no
The selection on the menu was great and so were the prices.	yes
Now I am getting angry and I want my damn pho.	no
Honeslty it didn't taste THAT fresh.)	yes
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	yes
The fries were great too.	no
A great touch.	1
Service was very prompt.	1
Would not go back.	0
